"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (GMT)"
"*03aqp*",1,1,1,"F","Mohamed Salah Ghaly","LIV","I’m a Baleba","Aug 13, 2025 7:00:11"
"*061vq*",1,2,2,"F","Erling Haaland","MCI","Infantino Milan","Aug 13, 2025 7:01:12"
"*05l8q*",1,3,3,"M","Cole Palmer","CHE","Bryan MBeumboclaat","Aug 13, 2025 7:01:33"
"*04y92*",1,4,4,"M","Bukayo Saka","ARS","Ugarte roll with it","Aug 13, 2025 7:01:50"
"*05ocl*",1,5,5,"F","Ollie Watkins","AVL","Me,Myself,Ndiaye","Aug 13, 2025 7:01:59"
"*04tsb*",1,6,6,"F","Viktor Gyökeres","ARS","Book Ake","Aug 13, 2025 7:02:17"
"*06v21*",1,7,7,"M","Florian Wirtz","LIV","Texas Chainshaw Massacre","Aug 13, 2025 7:02:36"
"*05gcr*",1,8,8,"M","Bruno Miguel Borges Fernandes","MUN","Chicken Tikka MoSalah","Aug 13, 2025 7:03:00"
"*0646f*",1,9,9,"F","Alexander Isak","NEW","FPL Loyalists","Aug 13, 2025 7:03:48"
"*02m5b*",1,10,10,"F","Chris Wood","NOT","ESRs EDL for FPL","Aug 13, 2025 7:04:31"
"*03vlj*",1,11,11,"D","Virgil van Dijk","LIV","Iwobi Wan-Kenobi","Aug 13, 2025 7:04:41"
"*04abb*",1,12,12,"M","Phil Foden","MCI","Ekitiki-taka","Aug 13, 2025 7:05:08"
"*05g2o*",1,13,13,"F","Joao Pedro Junqueira de Jesus","CHE","Haile Senesi","Aug 13, 2025 7:05:42"
"*06jgi*",2,1,14,"D","Daniel Munoz","CRY","Haile Senesi","Aug 13, 2025 7:05:57"
"*06zxy*",2,2,15,"F","Benjamin Sesko","MUN","Ekitiki-taka","Aug 13, 2025 7:06:16"
"*046c5*",2,3,16,"F","Jarrod Bowen","WHU","Iwobi Wan-Kenobi","Aug 13, 2025 7:06:40"
"*06pia*",2,4,17,"D","Maxence Lacroix","CRY","ESRs EDL for FPL","Aug 13, 2025 7:06:46"
