"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","W","L","D","CS","GA","GAA","Sv","Sv%","STA","YC","RC","FC","FS","PKGA","G","A"
"*02lz0*","Emiliano Martinez","AVL","G","G","10","joester1","@WHU Sun 2:00PM","18.05","18.05","74%","+19%","1","1","1","0","0","1","0","0.0","4","100.0","4","0","0","0","0","0","0","0"
"*06cmu*","Bart Verbruggen","BHA","G","G","11","feeneya","BHA 0<br/>@LIV 2 F","17.05","17.05","26%","-9%","1","1","1","0","0","1","0","0.0","3","100.0","3","0","0","0","0","0","0","0"
"*02xtd*","Sam Johnstone","WOL","G","G","17","FA","@ARS Sat 8:00PM","13.8","13.8","3%","0%","1","1","0","1","0","0","1","1.0","5","83.3","6","0","0","0","0","0","0","0"
"*04yme*","Robert Sanchez","CHE","G","G","3","feeneya","EVE 0<br/>@CHE 2 F","13.3","13.3","91%","+4%","1","1","0","0","1","0","1","1.0","3","75.0","4","0","0","0","1","0","0","0"
"*04ym7*","Lucas Perri","LEE","G","G","19","FA","@BRF Sun 4:30PM","11.05","11.05","6%","0%","1","1","0","1","0","0","3","3.0","6","66.7","9","0","0","0","0","0","0","0"
"*03yww*","Dean Henderson","CRY","G","G","4","Dank95","MCI Sun 2:00PM","10.8","10.8","91%","-1%","1","1","0","1","0","0","2","2.0","4","66.7","6","0","0","0","1","0","0","0"
"*06znb*","Robin Roefs","SUN","G","G","1","Rozza08","NEW Sun 2:00PM","10.05","10.05","80%","0%","1","1","1","0","0","0","2","2.0","4","66.7","6","1","0","0","0","0","0","0"
"*04sjt*","Alisson","LIV","G","G","18","CTM","BHA 0<br/>@LIV 2 F","9.05","9.05","80%","-4%","1","1","1","0","0","1","0","0.0","0","0","0","0","0","0","0","0","0","0"
"*070hs*","Gianluigi Donnarumma","MCI","G","G","16","Ekitiki","@CRY Sun 2:00PM","9.05","9.05","75%","-1%","1","1","1","0","0","0","2","2.0","1","33.3","3","1","0","0","0","0","0","0"
"*05tqx*","David Raya","ARS","G","G","9","Fsail93","WOL Sat 8:00PM","8.8","8.8","99%","0%","1","1","0","0","1","0","1","1.0","3","75.0","4","0","0","0","1","0","0","0"
"*04f6h*","Matz Sels","NOT","G","G","12","ojag7","TOT Sun 2:00PM","8.8","8.8","48%","-13%","1","1","0","1","0","0","2","2.0","3","60.0","5","0","0","0","0","0","0","0"
