"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","CS","GA","Sv","YC","RC","Pen","PKS","SBON","SBOF","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*070hs*","Gianluigi Donnarumma","MCI","G","G","16","Ekitiki","WHU Sat 3:00PM","18.55","18.55","77%","0%","1","1","90","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0"
"*06znb*","Robin Roefs","SUN","G","G","1","Rozza08","@BHA Sat 3:00PM","18.05","18.05","80%","0%","1","1","90","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","3","1","0","0"
"*04yme*","Robert Sanchez","CHE","G","G","3","feeneya","@NEW Sat 12:30PM","17.05","17.05","91%","+4%","1","1","90","1","0","2","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","2","0","0","0"
"*04sjt*","Alisson","LIV","G","G","18","CTM","@TOT Sat 5:30PM","13.55","13.55","80%","-4%","1","1","90","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","1","0","0"
"*04qor*","Bernd Leno","FUL","G","G","12","BukAke","NOT Mon 8:00PM","13.3","13.3","42%","+2%","1","1","90","0","2","6","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"*070gt*","John Victor Maciel Furtado","NOT","G","G","29","FA","@FUL Mon 8:00PM","11.3","11.3","2%","+1%","1","1","90","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"*045ob*","Caoimhin Kelleher","BRF","G","G","11","Rozza08","@WOL Sat 3:00PM","9.55","9.55","60%","+9%","1","1","90","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"*032f9*","Jordan Pickford","EVE","G","G","2","EDL4EFL","ARS Sat 8:00PM","8.3","8.3","97%","0%","1","1","90","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0"
"*04amh*","Aaron Ramsdale","NEW","G","G","27","CUM","CHE Sat 12:30PM","8.05","8.05","20%","-4%","1","1","90","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0"
"*06fuw*","Djordje Petrovic","BOU","G","G","7","BMB","BUR Sat 3:00PM","7.3","7.3","65%","+3%","1","1","90","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
