"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*05uoc*","Cristian Romero","TOT","D","D","74","BukAke","@NOT Sun 2:00PM","32.95","32.95","94%","+4%","1","1","90","2","2.0","0","2","2","2","1","1","1","0","4","0","0","0"
"*050jq*","Marc Guehi","CRY","D","D","2","Ekitiki","MCI Sun 2:00PM","32.2","32.2","98%","0%","1","1","90","0","0.0","1","1","0","0","0","0","0","0","0","0","0","1"
"*061vq*","Erling Haaland","MCI","F","F","1","joester1","@CRY Sun 2:00PM","31.1","31.1","100%","0%","1","1","90","1","1.0","2","3","5","1","0","1","0","0","0","1","0","0"
"*04abb*","Phil Foden","MCI","M","M","43","Ekitiki","@CRY Sun 2:00PM","30.81","30.81","100%","0%","1","1","88","2","2.0","0","2","2","2","0","2","0","0","0","0","0","0"
"*05ocl*","Ollie Watkins","AVL","F","F","137","ojag7","@WHU Sun 2:00PM","30.75","30.75","98%","+1%","1","1","85","2","2.0","0","2","4","3","1","3","0","0","1","1","0","0"
"*04e1e*","Ben White","ARS","D","D","266","Dank95","WOL Sat 8:00PM","28.1","28.1","85%","+15%","1","1","90","0","0.0","1","1","1","0","1","1","0","0","1","0","0","1"
"*05oh0*","Jan-Paul van Hecke","BHA","D","D","21","BMB","BHA 0<br/>@LIV 2 F","28.05","28.05","76%","+6%","1","1","90","2","2.0","0","2","3","3","2","0","0","0","2","0","0","0"
"*04hk9*","Mikel Merino","ARS","M","M","133","joester1","WOL Sat 8:00PM","27.35","27.35","80%","-1%","1","1","90","1","1.0","1","2","3","1","0","0","0","0","0","0","0","1"
"*02lsa*","Dan Burn","NEW","D","D","33","Fsail93","@SUN Sun 2:00PM","26.05","26.05","97%","0%","1","1","90","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"*04qfz*","Diogo Dalot","MUN","D","D","113","BukAke","BOU Mon 8:00PM","25.34","25.34","68%","+17%","1","1","67","1","1.0","0","1","1","1","0","0","0","0","0","0","0","0"
"*06jgi*","Daniel Munoz","CRY","D","D","3","Dank95","MCI Sun 2:00PM","24.2","24.2","98%","-2%","1","1","90","1","1.0","0","1","1","1","0","0","0","0","0","0","0","1"
"*070hk*","Samuel Chukwueze","FUL","F","F","220","EDL4EFL","FUL 1<br/>@BUR 1","23.8","23.8","60%","+6%","1","0","45","2","2.0","0","2","4","2","0","0","0","0","0","0","0","0"
"*070g9*","Soungoutou Magassa","WHU","M","M","311","FA","AVL Sun 2:00PM","22.05","22.05","1%","0%","1","1","90","1","1.0","0","1","2","1","4","4","0","0","4","0","0","0"
"*06nu7*","Riccardo Calafiori","ARS","D","D","22","ojag7","WOL Sat 8:00PM","21.55","21.55","89%","0%","1","1","90","0","0.0","0","0","2","2","1","0","0","0","1","0","0","1"
"*063hu*","Amadou Onana","AVL","M","M","185","FA","@WHU Sun 2:00PM","21.3","21.3","14%","+1%","1","1","90","1","1.0","0","1","2","1","0","0","0","0","0","0","0","0"
"*06v51*","Jaka Bijol","LEE","D","D","276","FA","@BRF Sun 4:30PM","21.05","21.05","1%","0%","1","1","90","1","1.0","0","1","1","1","2","1","0","0","2","0","0","0"
"*06pia*","Maxence Lacroix","CRY","D","D","13","EDL4EFL","MCI Sun 2:00PM","20.55","20.55","97%","0%","1","1","90","0","0.0","0","0","0","0","1","1","0","0","1","0","0","1"
"*06zwj*","Evann Guessand","AVL","F","F","272","FA","@WHU Sun 2:00PM","19.6","19.6","7%","0%","1","1","85","0","0.0","1","1","2","2","2","0","0","0","2","0","0","0"
"*06fup*","Jeremy Doku","MCI","M","M","19","BukAke","@CRY Sun 2:00PM","19.16","19.16","100%","0%","1","1","63","0","0.0","1","1","3","0","2","0","0","0","2","0","0","0"
"*03rxs*","Harry Wilson","FUL","M","M","81","CUM","FUL 1<br/>@BUR 1","18.42","18.42","90%","+15%","1","1","81","0","0.0","1","1","0","0","0","1","0","0","0","0","0","0"
"*049tq*","Dominic Calvert-Lewin","LEE","F","F","117","ojag7","@BRF Sun 4:30PM","18.1","18.1","68%","+23%","1","1","85","1","1.0","0","1","3","1","0","3","0","0","0","1","0","0"
"*06jgr*","Maxime Esteve","BUR","D","D","114","joester1","FUL 1<br/>@BUR 1","17.95","17.95","13%","+1%","1","1","90","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"*02lm7*","Jack Grealish","EVE","M","M","46","ojag7","EVE 0<br/>@CHE 2 F","17.7","17.7","97%","0%","1","1","90","1","1.0","0","1","2","1","0","3","0","0","0","0","0","1"
"*0635j*","Chris Richards","CRY","D","D","11","CUM","MCI Sun 2:00PM","17.55","17.55","91%","0%","1","1","90","0","0.0","0","0","0","0","1","0","0","0","1","0","0","1"
"*04sat*","Emile Smith Rowe","FUL","M","M","245","feeneya","FUL 1<br/>@BUR 1","17.46","17.46","36%","+8%","1","1","73","1","1.0","0","1","4","2","0","0","0","0","0","0","0","0"
"*06yb7*","Gabriel Gudmundsson","LEE","D","D","125","joester1","@BRF Sun 4:30PM","17.31","17.31","21%","0%","1","1","88","0","0.0","0","0","1","0","2","3","0","0","2","0","0","0"
"*06ybq*","Chemsdine Talbi","SUN","F","F","196","FA","NEW Sun 2:00PM","17.26","17.26","8%","+1%","1","1","88","1","1.0","0","1","2","2","0","0","0","0","0","0","0","0"
"*0642l*","Casemiro","MUN","M","M","101","EDL4EFL","BOU Mon 8:00PM","17.05","17.05","49%","0%","1","1","90","0","0.0","0","0","3","0","2","3","0","0","2","0","0","0"
"*06fv8*","Mohammed Kudus","TOT","M","M","17","Fsail93","@NOT Sun 2:00PM","17.02","17.02","100%","0%","1","1","86","0","0.0","1","1","2","0","1","0","0","0","1","0","0","0"
"*070g7*","Nick Woltemade","NEW","F","F","108","CUM","@SUN Sun 2:00PM","17","17","84%","0%","1","1","90","0","0.0","1","1","2","1","0","1","0","0","0","3","0","0"
"*06mpp*","Mats Wieffer","BHA","M","M","85","BMB","BHA 0<br/>@LIV 2 F","16.95","16.95","68%","-2%","1","1","90","0","0.0","1","1","0","0","2","2","0","0","2","0","0","0"
"*03vlj*","Virgil van Dijk","LIV","D","D","14","Rozza08","BHA 0<br/>@LIV 2 F","16.95","16.95","100%","0%","1","1","90","0","0.0","0","0","1","0","0","0","0","0","0","0","0","0"
"*06y9o*","Igor Jesus Maciel da Cruz","NOT","F","F","208","ojag7","TOT Sun 2:00PM","16.8","16.8","35%","+2%","1","1","90","1","1.0","0","1","4","1","2","1","0","0","2","0","0","1"
"*06v21*","Florian Wirtz","LIV","M","M","144","CUM","BHA 0<br/>@LIV 2 F","16.5","16.5","99%","0%","1","1","90","0","0.0","0","0","4","1","0","1","0","0","0","1","0","0"
"*0427d*","James Tarkowski","EVE","D","D","8","CTM","EVE 0<br/>@CHE 2 F","16.2","16.2","98%","0%","1","1","90","0","0.0","0","0","0","0","0","0","0","0","0","0","0","1"
"*070hq*","Piero Hincapie","ARS","D","D","314","joester1","WOL Sat 8:00PM","16.05","16.05","51%","+9%","1","1","90","0","0.0","0","0","0","0","1","0","0","0","1","0","0","1"
"*06zbx*","Anton Stach","LEE","M","M","62","joester1","@BRF Sun 4:30PM","15.65","15.65","76%","+9%","1","1","90","0","0.0","1","1","3","0","2","0","1","0","5","0","0","0"
"*06v06*","Tijjani Reijnders","MCI","M","M","145","Rozza08","@CRY Sun 2:00PM","15.52","15.52","91%","-2%","1","1","81","1","1.0","0","1","1","1","0","1","0","0","0","0","0","0"
"*05uht*","Morgan Rogers","AVL","M","M","66","FPLL","@WHU Sun 2:00PM","15.25","15.25","99%","0%","1","1","90","0","0.0","1","1","0","0","2","1","0","0","2","0","0","0"
"*038ze*","Alex Iwobi","FUL","M","M","88","Rozza08","FUL 1<br/>@BUR 1","15.2","15.2","97%","+1%","1","1","90","1","1.0","0","1","1","1","0","0","0","0","0","0","0","0"
"*05a6e*","Neco Williams","NOT","D","D","60","EDL4EFL","TOT Sun 2:00PM","15.05","15.05","87%","-4%","1","1","90","0","0.0","0","0","2","1","0","2","0","0","0","0","0","1"
"*05ubv*","Omari Hutchinson","NOT","F","F","221","FA","TOT Sun 2:00PM","15","15","46%","-1%","1","1","90","0","0.0","1","1","2","1","2","0","0","0","2","0","0","1"
"*067ys*","Jack Hinshelwood","BHA","M","M","290","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","14.95","14.95","7%","-1%","1","0","65","0","0.0","1","1","4","0","0","0","0","0","0","0","0","0"
"*04adp*","Aaron Wan-Bissaka","WHU","D","D","194","FA","AVL Sun 2:00PM","14.85","14.85","53%","+6%","1","1","90","0","0.0","0","0","0","0","1","1","1","0","4","0","0","0"
"*06y9n*","Jamie Gittens","CHE","F","F","260","W <small>(Tue)</small>","EVE 0<br/>@CHE 2 F","14.6","14.6","36%","-3%","1","1","60","0","0.0","1","1","1","0","0","0","0","0","0","0","0","0"
"*05gcr*","Bruno Fernandes","MUN","M","M","4","CTM","BOU Mon 8:00PM","14.55","14.55","100%","0%","1","1","90","0","0.0","0","0","6","1","1","0","0","0","1","1","0","0"
"*04mdn*","Anthony Gordon","NEW","M","M","201","ojag7","@SUN Sun 2:00PM","14.46","14.46","97%","+1%","1","0","23","1","1.0","0","1","1","1","0","0","0","0","0","0","1","0"
"*06uzy*","Ao Tanaka","LEE","M","M","238","FA","@BRF Sun 4:30PM","14.32","14.32","7%","+3%","1","1","66","1","1.0","0","1","4","1","0","0","0","0","0","0","0","0"
"*046c5*","Jarrod Bowen","WHU","F","F","38","Rozza08","AVL Sun 2:00PM","14.3","14.3","100%","0%","1","1","90","0","0.0","0","0","4","2","0","5","0","0","0","2","0","0"
"*04y92*","Bukayo Saka","ARS","M","M","36","feeneya","WOL Sat 8:00PM","14.06","14.06","100%","0%","1","0","28","1","1.0","0","1","2","2","0","0","0","0","0","0","0","0"
"*05akv*","Tyrick Mitchell","CRY","D","D","34","BMB","MCI Sun 2:00PM","14.05","14.05","98%","0%","1","1","90","0","0.0","0","0","0","0","0","0","0","0","0","1","0","1"
