"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","Pen","ACNC","Int","CLR","CoS","BS","AER","SBON","SBOF","PKM","PKD","OG","GAO","CS"
"*06mn0*","Igor Thiago","BRF","F","F","3","Rozza08","ARS Thu 8:00PM","44.76","44.76","99%","0%","1","1","88","3","0","0","5","0","1","0","0","0","1","0","0","1","1","5","0","1","0","0","0","2","0"
"*0700p*","Malick Thiaw","NEW","D","D","45","EDL4EFL","@TOT Tue 7:30PM","31.3","31.3","75%","-1%","1","1","90","1","0","0","1","3","0","0","0","0","0","0","10","0","2","3","0","0","0","0","0","0","1"
"*05u1m*","Nathan Collins","BRF","D","D","38","Ekitiki","ARS Thu 8:00PM","30.7","30.7","87%","-7%","1","1","90","1","1","1","1","2","0","0","0","0","0","1","4","0","2","4","0","0","0","0","0","2","0"
"*04agz*","Declan Rice","ARS","M","M","6","Ekitiki","@BRF Thu 8:00PM @WOL Wed8:00PM","28.45","28.45","100%","0%","1","1","90","2","1","0","2","2","1","0","0","0","0","0","3","0","0","1","0","0","0","0","0","2","0"
"*051k0*","John McGinn","AVL","M","M","136","W <small>(Tue)</small>","BHA Wed 7:30PM","27.14","27.14","38%","-9%","1","1","82","2","0","0","2","1","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0"
"*02lm7*","Jack Grealish","EVE","M","M","97","W <small>(Tue)</small>","BOU Tue 7:30PM","26.9","26.9","61%","-18%","1","1","90","0","4","2","0","0","0","0","0","0","3","1","0","4","0","1","0","0","0","0","0","4","0"
"*06rpm*","Mateus Mane","WOL","F","F","232","ojag7","@NOT Wed 7:30PM ARS Wed8:00PM","25.7","25.7","52%","+4%","1","1","85","1","0","1","2","2","1","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","1"
"*05tre*","Vitaly Janelt","BRF","M","M","162","Rozza08","ARS Thu 8:00PM","25.35","25.35","49%","-4%","1","1","90","0","2","2","0","1","0","0","0","0","1","3","3","0","2","2","0","0","0","0","0","2","0"
"*02oo1*","Ben Davies","TOT","D","D","395","W <small>(Tue)</small>","NEW Tue 7:30PM","24.89","24.89","1%","0%","1","1","87","1","1","0","2","1","0","0","0","0","1","0","5","0","1","3","0","1","0","0","0","1","0"
"*05mzz*","Pascal Struijk","LEE","D","D","82","Dank95","@CHE Tue 7:30PM","24.7","24.7","43%","+3%","1","1","90","0","1","1","0","3","0","0","0","0","0","3","4","0","0","7","0","0","0","0","0","1","0"
"*05raa*","Hugo Bueno","WOL","D","D","113","Rozza08","@NOT Wed 7:30PM ARS Wed8:00PM","23.5","23.5","43%","+2%","1","1","90","0","3","1","1","2","3","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","1"
"*05ylj*","Bruno Guimaraes","NEW","M","M","10","Ekitiki","@TOT Tue 7:30PM","22.45","22.45","100%","0%","1","1","90","1","1","0","1","2","3","0","0","0","0","3","1","1","0","2","0","0","0","0","0","0","1"
"*05w91*","Hwang Hee-Chan","WOL","F","F","266","W <small>(Tue)</small>","@NOT Wed 7:30PM ARS Wed8:00PM","21.6","21.6","6%","-1%","1","1","60","1","1","1","1","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1"
"*04tig*","Fabian Schar","NEW","D","D","159","W <small>(Tue)</small>","@TOT Tue 7:30PM","21.2","21.2","35%","-3%","1","1","90","0","1","0","1","1","0","0","0","0","1","0","10","0","0","5","0","0","0","0","0","0","1"
"*04qr9*","Morgan Gibbs-White","NOT","M","M","48","BukAke","WOL Wed 7:30PM","21.1","21.1","100%","0%","1","1","90","1","2","0","2","1","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","3","0"
"*068ym*","Enzo Fernandez","CHE","M","M","24","feeneya","LEE Tue 7:30PM","20.35","20.35","100%","0%","1","1","90","1","2","0","2","3","0","1","0","0","0","1","3","0","0","0","0","0","0","0","0","1","0"
"*05nzu*","Gabriel Magalhaes","ARS","D","D","16","CTM","@BRF Thu 8:00PM @WOL Wed8:00PM","19.8","19.8","100%","0%","1","1","90","1","0","0","1","0","0","0","0","0","0","1","8","0","1","3","0","0","0","0","0","2","0"
"*06zce*","Jhon Arias","WOL","M","M","245","W <small>(Tue)</small>","@NOT Wed 7:30PM ARS Wed8:00PM","19.7","19.7","14%","-1%","1","1","90","1","1","0","1","2","4","0","0","0","1","1","4","0","0","0","0","0","0","0","0","0","1"
"*06phe*","Ferdi Kadioglu","BHA","D","D","112","FPLL","@AVL Wed 7:30PM","19.5","19.5","52%","+1%","1","1","90","0","3","0","0","1","0","0","0","0","2","2","0","1","1","1","0","0","0","0","0","0","1"
"*06ab3*","Lewis Miley","NEW","M","M","184","EDL4EFL","@TOT Tue 7:30PM","19.45","19.45","30%","-6%","1","1","90","0","1","1","0","1","1","0","0","0","0","1","3","5","0","1","0","0","0","0","0","0","1"
"*067yz*","Matheus Cunha","MUN","F","F","79","FPLL","@WHU Tue 8:15PM","19.2","19.2","100%","0%","1","1","90","1","1","0","1","0","4","0","0","0","0","2","2","3","0","2","0","0","0","0","0","1","0"
"*06v06*","Tijjani Reijnders","MCI","M","M","127","CTM","FUL Wed 7:30PM","18.93","18.93","94%","-4%","1","1","69","1","2","0","1","0","1","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","1"
"*05oh0*","Jan-Paul van Hecke","BHA","D","D","31","BMB","@AVL Wed 7:30PM","18.8","18.8","81%","0%","1","1","90","0","0","0","1","0","0","0","0","0","0","0","8","2","0","4","0","0","0","0","0","0","1"
"*06ezb*","Micky van de Ven","TOT","D","D","83","FPLL","NEW Tue 7:30PM","18.45","18.45","84%","-3%","1","1","90","0","1","1","1","2","1","0","0","0","0","1","5","0","1","1","0","0","0","0","0","1","0"
"*05y9n*","Lewis Hall","NEW","D","D","137","ojag7","@TOT Tue 7:30PM","18.04","18.04","93%","0%","1","1","62","0","2","0","1","0","1","0","0","0","1","2","2","1","1","1","0","1","0","0","0","0","1"
"*070f4*","Ladislav Krejci","WOL","D","D","146","W <small>(Tue)</small>","@NOT Wed 7:30PM ARS Wed8:00PM","17.8","17.8","6%","-1%","1","1","90","0","0","0","1","2","0","0","0","0","0","2","4","0","0","2","0","0","0","0","0","0","1"
