"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","Pen","ACNC","Int","CLR","CoS","BS","AER","SBON","SBOF","PKM","PKD","OG","GAO","CS"
"*070cj*","Noah Okafor","LEE","F","198","FA","BOU Sat 3:00PM","19.88","19.88","15%","+7.8%","1","1","69","1","0","0","1","0","1","0","0","0","0","1","0","6","0","0","0","1","0","0","0","1","0"
"*03gu4*","Harry Maguire","MUN","D","203","FA","@BRF Sat 12:30PM","19.78","19.78","12%","+1.6%","1","1","69","0","1","1","0","1","1","0","0","0","0","2","0","0","0","1","0","1","0","0","0","0","1"
"*068yc*","Yasin Ayari","BHA","M","103","FA","@CHE Sat 3:00PM","19.45","19.45","19%","+13.2%","1","1","90","1","1","0","2","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","2","0"
"*03rxs*","Harry Wilson","FUL","M","134","FA","@AVL Sun 2:00PM","18.65","18.65","56%","+9.4%","1","1","85","1","3","0","1","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0"
"*0700p*","Malick Thiaw","NEW","D","248","FA","ARS Sun 4:30PM","16.16","16.16","6%","0%","1","1","83","0","0","0","0","0","0","1","0","0","0","4","6","0","2","2","0","1","0","0","0","0","1"
"*062a9*","Sven Botman","NEW","D","154","FA","ARS Sun 4:30PM","15.8","15.8","15%","+2.2%","1","1","90","0","0","0","0","0","0","0","0","0","0","0","8","1","1","3","0","0","0","0","0","0","1"
"*04qfm*","Ryan Sessegnon","FUL","M","125","FA","@AVL Sun 2:00PM","15.55","15.55","37%","+9.2%","1","1","90","0","0","1","1","2","1","0","0","0","1","0","3","0","1","1","0","0","0","0","0","1","0"
"*06c4o*","Lyle Foster","BUR","F","83","FA","@MCI Sat 3:00PM","15.25","15.25","29%","+5.2%","1","1","85","0","2","1","0","0","1","0","0","0","0","0","1","3","1","2","0","1","0","0","0","1","0"
"*06p4j*","Noussair Mazraoui","MUN","D","214","FA","@BRF Sat 12:30PM","14.51","14.51","42%","+3.3%","1","1","63","0","0","0","0","1","0","0","0","0","2","0","1","2","0","1","0","1","0","0","0","0","1"
"*06v6n*","Quilindschy Hartman","BUR","D","71","W <small>(Tue)</small>","@MCI Sat 3:00PM","14.25","14.25","13%","+4.6%","1","1","90","0","3","0","1","1","1","0","0","0","4","1","1","0","1","0","0","0","0","0","0","1","0"
"*070f4*","Ladislav Krejci","WOL","D","254","FA","@TOT Sat 8:00PM","13.7","13.7","2%","+0.8%","1","1","90","1","1","0","1","0","1","0","0","0","0","1","2","0","0","1","0","0","0","0","0","3","0"
"*06jgr*","Maxime Esteve","BUR","D","73","FA","@MCI Sat 3:00PM","13.7","13.7","13%","+0.4%","1","1","90","0","1","0","0","1","0","0","0","0","0","2","8","0","0","5","0","0","0","0","0","1","0"
"*02lp9*","Kyle Walker","BUR","D","147","FA","@MCI Sat 3:00PM","12.05","12.05","13%","-0.4%","1","1","90","0","0","0","0","2","0","0","0","0","0","1","5","2","1","2","0","0","0","0","0","1","0"
"*070ha*","Florentino Ibrain Morris Luis","BUR","M","274","FA","@MCI Sat 3:00PM","11.1","11.1","3%","+1.3%","1","1","90","0","2","0","0","3","0","1","0","0","0","2","4","1","1","1","0","0","0","0","0","1","0"
"*03zsq*","Kyle Walker-Peters","WHU","D","189","FA","@EVE Mon 8:00PM","11.05","11.05","8%","+0.1%","1","1","90","0","0","0","1","1","0","0","0","0","0","0","1","4","1","2","0","0","0","0","0","2","0"
"*070hd*","Tolu Arokodare","WOL","F","264","FA","@TOT Sat 8:00PM","10.45","10.45","13%","-0.6%","1","1","90","0","1","0","1","1","0","0","0","0","0","0","1","0","0","7","0","0","0","0","0","3","0"
"*06c4h*","Hjalmar Ekdal","BUR","D","72","FA","@MCI Sat 3:00PM","10.3","10.3","5%","-0.1%","1","1","90","0","0","0","1","0","0","0","0","0","0","1","6","0","1","2","0","0","0","0","0","1","0"
"*05o8o*","Jayden Bogle","LEE","D","99","FA","BOU Sat 3:00PM","10.14","10.14","21%","-2%","1","1","82","0","0","1","0","2","5","1","0","0","0","1","4","0","0","1","0","1","0","0","0","1","0"
"*05raa*","Hugo Bueno","WOL","D","121","FA","@TOT Sat 8:00PM","10.1","10.1","15%","+6.8%","1","0","45","0","3","0","0","1","1","0","0","0","5","0","0","1","0","0","1","0","0","0","0","0","0"
"*070bg*","Jackson Tchatchoua","WOL","D","245","FA","@TOT Sat 8:00PM","10.1","10.1","4%","-0.7%","1","1","90","0","2","0","0","3","0","0","0","0","2","0","2","1","0","3","0","0","0","0","0","3","0"
"*05mzz*","Pascal Struijk","LEE","D","112","FA","BOU Sat 3:00PM","10.05","10.05","8%","-0.5%","1","1","90","0","0","0","0","1","1","0","0","0","0","0","11","0","2","2","0","0","0","0","0","1","0"
"*03yqz*","Joe Rodon","LEE","D","61","W <small>(Fri)</small>","BOU Sat 3:00PM","9.8","9.8","19%","-0.4%","1","1","90","0","0","0","0","0","0","0","0","0","0","0","8","0","0","5","0","0","0","0","0","1","0"
"*04ge6*","Joe Willock","NEW","M","298","FA","ARS Sun 4:30PM","9.72","9.72","2%","-1.1%","1","1","61","0","0","0","0","4","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1"
"*04ug0*","Sean Longstaff","LEE","M","197","FA","BOU Sat 3:00PM","9.39","9.39","3%","+0.2%","1","1","82","0","0","0","1","4","2","0","0","0","0","0","1","0","1","1","0","1","0","0","0","1","0"
"*06v12*","Fer Lopez","WOL","F","281","FA","@TOT Sat 8:00PM","9.2","9.2","7%","-0.9%","1","1","45","0","2","1","0","1","3","1","0","0","1","0","0","1","0","0","0","1","0","0","0","3","0"
"*070hn*","Dilane Bakwa","NOT","F","311","FA","SUN Sat 5:30PM","9.06","9.06","16%","+1.6%","1","1","58","0","1","0","2","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0"
"*04lav*","Ethan Ampadu","LEE","D","186","FA","BOU Sat 3:00PM","9.05","9.05","4%","+0.3%","1","1","90","0","0","0","0","2","0","0","0","0","0","0","5","1","0","2","0","0","0","0","0","1","0"
"*05mxa*","Joel Veltman","BHA","D","228","FA","@CHE Sat 3:00PM","9.05","9.05","2%","+0.7%","1","1","90","0","0","0","0","3","0","0","0","0","1","3","5","0","0","0","0","0","0","0","0","2","0"
"*067x8*","Nico OReilly","MCI","M","234","FA","BUR Sat 3:00PM","8.72","8.72","13%","+0.8%","1","1","86","0","0","0","0","0","0","0","0","0","0","1","6","1","0","1","0","1","0","0","0","0","1"
