"Player","Team","Position","From","To","Date (GMT)","Gameweek"
"Xavi Simons","TOT","<b>M</b>","Bryan MBeumboclaat","Texas Chainshaw Massacre","Fri Oct 31, 2025, 4:00PM","10"
"Nick Woltemade","NEW","<b>F</b>","Bryan MBeumboclaat","Texas Chainshaw Massacre","Fri Oct 31, 2025, 4:00PM","10"
"Yankuba Minteh","BHA","<b>M</b>","Texas Chainshaw Massacre","Bryan MBeumboclaat","Fri Oct 31, 2025, 4:00PM","10"
"Kevin Santos Lopes de Macedo","FUL","<b>F</b>","Chicken Tikka MoSalah","ESRs EDL for FPL","Mon Sep 22, 2025, 9:38PM","6"
"Joshua King","FUL","<b>M</b>","ESRs EDL for FPL","Chicken Tikka MoSalah","Mon Sep 22, 2025, 9:38PM","6"
"Noni Madueke","ARS","<b>M</b>","FPL Loyalists","Infantino Milan","Sun Sep 21, 2025, 3:31PM","6"
"Richarlison","TOT","<b>F</b>","FPL Loyalists","Infantino Milan","Sun Sep 21, 2025, 3:31PM","6"
"Morgan Rogers","AVL","<b>M</b>","Infantino Milan","FPL Loyalists","Sun Sep 21, 2025, 3:31PM","6"
"Matty Cash","AVL","<b>D</b>","Bryan MBeumboclaat","Ekitiki-taka","Fri Sep 12, 2025, 2:27PM","4"
"Gianluigi Donnarumma","MCI","<b>G</b>","Bryan MBeumboclaat","Ekitiki-taka","Fri Sep 12, 2025, 2:27PM","4"
"Pedro Porro","TOT","<b>D</b>","Ekitiki-taka","Bryan MBeumboclaat","Fri Sep 12, 2025, 2:27PM","4"
"Emiliano Martinez","AVL","<b>G</b>","Ekitiki-taka","Infantino Milan","Sun Sep 7, 2025, 12:04PM","4"
"Liam Delap","CHE","<b>F</b>","Infantino Milan","Ekitiki-taka","Sun Sep 7, 2025, 12:04PM","4"
