"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*061vq*","Erling Haaland","MCI","F","1","joester1","BUR Sat 3:00PM","98.81","19.76","100%","0%"
"*04mup*","Trevoh Chalobah","CHE","D","2","CTM","BHA Sat 3:00PM","95.96","19.19","88%","+0.1%"
"*068y0*","Antoine Semenyo","BOU","F","3","CUM","@LEE Sat 3:00PM","89.7","17.94","100%","0%"
"*06fv8*","Mohammed Kudus","TOT","M","4","Fsail93","WOL Sat 8:00PM","82.18","16.44","100%","0%"
"*050jq*","Marc Guehi","CRY","D","5","Ekitiki","LIV Sat 3:00PM","81.8","16.36","98%","+0.5%"
"*06pia*","Maxence Lacroix","CRY","D","6","EDL4EFL","LIV Sat 3:00PM","80.15","16.03","97%","+0.2%"
"*044ei*","Nick Pope","NEW","G","7","BukAke","ARS Sun 4:30PM","77","15.4","96%","+0.5%"
"*03vlj*","Virgil van Dijk","LIV","D","8","Rozza08","@CRY Sat 3:00PM","76.9","15.38","100%","0%"
"*05r94*","Iliman Ndiaye","EVE","M","9","EDL4EFL","WHU Mon 8:00PM","76.87","15.37","100%","0%"
"*063e7*","Marcos Senesi","BOU","D","10","Dank95","@LEE Sat 3:00PM","76.45","15.29","88%","+2%"
"*061vk*","Jaidon Anthony","BUR","F","11","Rozza08","@MCI Sat 3:00PM","75.69","15.14","86%","+4%"
"*02lsa*","Dan Burn","NEW","D","12","Fsail93","ARS Sun 4:30PM","75.65","15.13","98%","-0.1%"
"*06nu7*","Riccardo Calafiori","ARS","D","13","ojag7","@NEW Sun 4:30PM","75.57","15.11","89%","-0.2%"
"*06dmj*","Jurrien Timber","ARS","D","14","joester1","@NEW Sun 4:30PM","75.32","15.06","98%","+0.2%"
"*05g2o*","Joao Pedro","CHE","F","15","Dank95","BHA Sat 3:00PM","74.4","14.88","100%","0%"
"*05akv*","Tyrick Mitchell","CRY","D","16","BMB","LIV Sat 3:00PM","74.3","14.86","97%","+0.3%"
"*02lm7*","Jack Grealish","EVE","M","17","ojag7","WHU Mon 8:00PM","73.93","14.79","97%","0%"
"*0635j*","Chris Richards","CRY","D","18","CUM","LIV Sat 3:00PM","72.4","14.48","86%","+4.2%"
"*06cmb*","Guglielmo Vicario","TOT","G","19","CUM","WOL Sat 8:00PM","72.25","14.45","93%","+0.7%"
"*06jgi*","Daniel Munoz","CRY","D","20","Dank95","LIV Sat 3:00PM","71.7","14.34","100%","0%"
"*05rb8*","Moises Caicedo","CHE","M","21","EDL4EFL","BHA Sat 3:00PM","71.65","14.33","96%","+2.7%"
"*05uoc*","Cristian Romero","TOT","D","22","BukAke","WOL Sat 8:00PM","71.3","14.26","99%","+1.5%"
"*06znb*","Robin Roefs","SUN","G","23","Rozza08","@NOT Sat 5:30PM","70.5","14.1","55%","+23.4%"
"*04io4*","Richarlison","TOT","F","24","joester1","WOL Sat 8:00PM","70.25","14.05","84%","+1.5%"
"*06zbz*","Hugo Ekitike","LIV","F","25","Fsail93","@CRY Sat 3:00PM","69.9","13.98","96%","0%"
"*0427d*","James Tarkowski","EVE","D","26","CTM","WHU Mon 8:00PM","69.4","13.88","99%","-0.1%"
"*06zbx*","Anton Stach","LEE","M","27","BMB","BOU Sat 3:00PM","68.55","13.71","71%","-1.8%"
"*067yv*","Cody Gakpo","LIV","F","28","CTM","@CRY Sat 3:00PM","68.36","13.67","100%","0%"
"*06c6g*","Yankuba Minteh","BHA","M","29","CUM","@CHE Sat 3:00PM","68.25","13.65","98%","+1.5%"
"*05gcr*","Bruno Fernandes","MUN","M","30","CTM","@BRF Sat 12:30PM","66.92","13.38","100%","0%"
"*03rec*","Tyrone Mings","AVL","D","31","joester1","FUL Sun 2:00PM","65.95","13.19","59%","+23.2%"
"*06v0g*","Trai Hume","SUN","D","32","BukAke","@NOT Sat 5:30PM","65.5","13.1","67%","+20.1%"
"*0647t*","Lucas Paqueta","WHU","M","33","BukAke","@EVE Mon 8:00PM","64.19","12.84","97%","+0.1%"
"*04tig*","Fabian Schar","NEW","D","34","feeneya","ARS Sun 4:30PM","63.05","15.76","88%","-4.4%"
"*068ym*","Enzo Fernandez","CHE","M","35","feeneya","BHA Sat 3:00PM","62.91","12.58","100%","0%"
"*05tqx*","David Raya","ARS","G","36","Fsail93","@NEW Sun 4:30PM","62.5","12.5","100%","-0.1%"
"*04spw*","James Garner","EVE","M","37","joester1","WHU Mon 8:00PM","61.9","12.38","69%","+11.1%"
"*046c5*","Jarrod Bowen","WHU","F","38","Rozza08","@EVE Mon 8:00PM","61.85","12.37","100%","0%"
"*05n07*","Pedro Porro","TOT","D","39","BMB","WOL Sat 8:00PM","61.66","12.33","100%","0%"
"*04mr4*","Martin Dubravka","BUR","G","40","FPLL","@MCI Sat 3:00PM","61.25","12.25","18%","+4.4%"
"*0700t*","Omar Alderete","SUN","D","41","BMB","@NOT Sat 5:30PM","61.09","12.22","33%","+17.7%"
